,itemId,Title,Description,Creator,Source,Publisher,Identifier,Subject,Rights,Date,Coverage,Format,Type,Contributor
0,13347,Serena Wadham - Box 1 - Self-portraits & Documents,"<p>Self-portraits of SW - in some cases done to test equipment - and interior views of her flat at 5, Noel Road, Islington.</p>
<p><span>Brown A4 envelope 1/1 marked 'Shots from my window (pre-Zone System tests), containing views from 5, Noel Rd to test various lenses; late 1970s.</span> </p>
<p><span>Yellow folder I/2 containing a selection of miscellaneous documents and personal photos.</span></p>
<p><span>Brown A4 envelope marked I/3, postmarked Nov. 1975 marked 'Patricia Frischer's Choice' and containing 10 of SW's prints, mostly London scenes, including 1 in colour.</span></p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/1,Miscellaneous,Morrab Library,,,,,
1,13348,Serena Wadham - Box 2 - Orthodox Jewish Education,"One of Serena Wadham's earliest non-Cornish assignments was a study of Jewish education, for which she took numerous pictures, evidently in May-June 1965, at yeshivas in Gateshead and Sunderland, and at the Hasmonean Grammar School and other schools in North London. There is a print of Prime Minister Harold Wilson attending a formal Jewish occasion.",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/2,,Morrab Library,1965,,,,
2,13349,Serena Wadham - Box 3 - Music & Theatre,"Having originally trained as a professional musician, Serena Wadham retained a lifelong interest in music and undertook numerous related assignments, involving personalities such as Yehudi Menuhin, Elizabeth Lutyens, Gwyneth Jones, Richard Rodney Bennett, Priaulx Rainier, Mikis Theodorakis and others. 

Included also are photos of various London stage productions; and the Wells Cathedral School Orchestra rehearsing at the Wigmore Hall.",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/3,Music,Morrab Library,,,,,
3,13350,Serena Wadham - Box 4 - London Subjects (1),"<p>Urban views, mainly in Islington and other parts of North London, many taken to test cameras or lenses. </p>
<p><span>Brown folder 4/1 of Islington views, with selection of local government publications, late 1970s. Also shots of St Paul's, railway installations and NE industrial outskirts, &amp;c, mostly c. 1975-87.</span></p>
<p><span>Brown folder 4/2 of Islington views, c. late 1970s.</span></p>
<div><span> </span></div>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/4,London,Morrab Library,,London,,,
4,13351,Serena Wadham - Box 5 - London Subjects (2),"Victoria Station (1965); Hampstead Heath: Ladies' Pond (1974), views and tree studies (1976); campaign in support of Charlie Welsh and his animals at Corrall Rd, Islington (c. 1977).",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/5,London,Morrab Library,1965-1977,London,,,
5,13352,Serena Wadham - Box 6 - London Subjects (3),"City of  London, views and street scenes; the Barbican; some Islington scenes. Miscellaneous street scenes, café interiors &c, mostly Islington. 1970s-80s.",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/6,London,Morrab Library,,London,,,
6,13353,Serena Wadham - Box 7 - London Subjects (4),"North London architectural views and street scenes, mostly late 1970s-80s.",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/7,London,Morrab Library,1970-1989,London,,,
7,13354,Serena Wadham - Box 8 - Political Subjects,"Photos of squats and occupations from late 1960s, including Guildford School of Art, University of London Union (Jan. 1969), Hornsey College (Jan. 1969); also rallies and demonstrations by the National Front, the Monday Club (May 1970), CND, anti-Vietnam (including the Grosvenor Square disturbances of March 1968), pro-Biafra and anti-apartheid campaigners and Belfast peace women; also members of the London Anarchist Group.

Yellow A4 box of prints of squats, occupations and demos from late 1960s, some duplicating material in Box 8; images of Jesse Jackson, Pat Arrowsmith et al. 

Blue card folder marked 'Basques' containing photographs and copies of a ts. article by SW relating to a trip to the Basque Country of Spain in late 1970, plus British and Spanish press material.",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/8,,Morrab Library,,London,,,
8,13355,Serena Wadham - Box 9 - Women (1),"<p>From the late 1960s onwards Serena Wadham became increasingly interested in feminism and women's issues, and the archive contains many pictures of political meetings and demonstrations, portraits of feminist personalities, and images of women at work, at home, or engaged in leisure activities. Some were part of regular assignments, others were connected with a long-cherished - but unrealized - book project on women in contemporary society.</p>
<p><span>Green folder 9/1 containing portraits of prominent women, including Barbara Hepworth, Germaine Greer, Elizabeth Lutyens, Pat Arrowsmith, Kate Millett, Judy Chicago, Indira Gandhi and Lisbet Holme; also street and sporting scenes, some nudes and images of friends; and a series of studies of mannequins.</span></p>
<p><span>Brown A4 envelope 9/2 marked 'Lesbian Issues' and containing negatives, contact sheets, prints and some written material relating to SW's lesbian interests, including correspondence with the American journal <em>The Ladder</em>. Mostly mid-1960s.</span></p>
<p><span>Plastic envelope 9/3 containing 2 portraits of Lyn Redgrave. </span></p>
<p><span>Brown folder 9/4 marked 'Judy Chicago' containing photographs and printed material relating to the American artist and her installation <em>The Dinner Party</em>, exhibited in Edinburgh and London 1984-5; also an illustrated <em>Daily Telegraph </em>article of 7 Jan 1983 by Serena Wadham and other material on Chicago's work <em>The Birth Project</em>, including an ms card from the artist.</span></p>
<p><span>Brown folder 9/5 marked 'Gay Lib' containing typed and cyclostyled documents on the Gay Liberation Front, early 1972.</span></p>
<div><span> </span></div>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/9,Women,Morrab Library,1965-1985,,,,
9,13356,Serena Wadham - Box 10 - Women (2),"<p><span>Brown folder 10/1 marked 'Changing roles of women' containing a large selection of pictures of women doing various kinds of factory and transport work; also sporting activities (rowing, riding, karate); and the composer Thea Musgrave and film-maker Midge McKenzie at work.</span></p>
<p><span>Brown folder 10/2 marked 'Self-help - women's clinics'. It includes correspondence and pamphlets relating to the activities of the Florida-based Feminist Women's Health Center and its British associates, c. 1973-6; also photographs of 'self-help' cervical examinations taken by SW.</span></p>
<p><span>Brown folder 10/3 marked 'Women's Lib - Pix', with pictures of demonstrations and meetings on gender-equality and gay liberation issues. Includes images of Germaine Greer, Audrey Wise, Pat Arrowsmith and other personalities.</span></p>
<p><span>Brown folder 10/4: further images of women, at work and elsewhere.</span></p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/10,Women,Morrab Library,,,,,
