,dct:identifier,dct:title,dct:provenance,dct:date,dct:rights,dct:format,dct:type,dct:identifier,dct:spatial,dct:subject,dct:description,dct:publisher,dct:creator,dct:source,dct:isPartof,schema:copyrightNotice,schema:license,schema:creator,schema:publisher,schema:identifier
0,15584,"Storm damage, Penzance Promenade",Margaret Orchard,c.1890,Morrab Library,35mm Slide,Photograph,ORCH.SL.0001,Penzance,Acts,Great Storm damage to Penzance promenade looking East,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15584,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:a6f1955d-c7c9-4c75-8332-ba8935980874
1,15585,"Penzance Promenade, Great Storm damage",Margaret Orchard,1880-10-07,Morrab Library,35mm Slide,Photograph,ORCH.SL.0002,Penzance,Acts,Storm damage Penzance promenade looking East,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15585,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:adc680a7-e831-4cd0-ac80-6d96734adbdb
2,15586,"Penzance Promenade, Great Storm damage. Gibson",Margaret Orchard,1880-10-07,Morrab Library,35mm Slide,Photograph,ORCH.SL.0003,Penzance,Acts,"Storm damage to Penzance promenade, view from Eastern end",Gibson,,https://photoarchive.morrablibrary.org.uk/items/show/15586,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:88d25543-9537-43eb-820d-9efd1c881941
3,15587,"The railway viaduct, Chyandour, storm damage. Etching",Margaret Orchard,1852,Morrab Library,35mm Slide,Engraving,ORCH.SL.0004,Penzance,Acts,"Wooden railway viaduct, storm damage",Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15587,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:acfcab5a-9728-48b7-aa0c-3fc819375eeb
4,15604,Storm damage Penzance promenade,Margaret Orchard,1818,Morrab Library,35mm Slide,Photograph,ORCH.SL.0005,Penzance,Acts,Storm damage Penzance promenade looking West,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15604,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:357eba82-6042-46bc-8099-e3b9012613a0
5,15605,Great Storm damage Penzance promenade,Margaret Orchard,1880-10-07,Morrab Library,35mm Slide,Photograph,ORCH.SL.0006,Penzance,Acts,Storm damage central Penzance promenade,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15605,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:7ccdc0fd-25a2-4671-90e6-8281c11a1e9e
72,15737,Zennor Quoit,Margaret Orchard,1971,Morrab Library,35mm Slide,Photograph,ORCH.SL.0073,Zennor,Architecture,Zennor Quoit is a ruined megalithic burial chamber,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15737,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:9e86b94a-d684-4a7d-ad44-7da3e3b60725
97,15810,Lanyon Quoit,Margaret Orchard,1858-09,Morrab Library,35mm Slide,Photograph,ORCH.SL.0098,Morvah,Architecture,Early photograph by a visiting professional photographer John  W. Gutch in September 1858. The location is beside the road from Madron to Morvah,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15810,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:c4c46858-e281-4b7d-8a52-946aebc917cc
107,15828,"Bleu Bridge inscribed stone, Gulval",Margaret Orchard,,Morrab Library,35mm Slide,Photograph,ORCH.SL.0108,Gulval,Architecture,"A 6th century inscribed stone at Bleu or Blue Bridge, Gulval. The inscription reads QVENATAVCI IC DINVI FILIVS 
(The stone) of Qvenataucus here, son of Dinvius",Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15828,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:d13e4e91-4549-4e5e-89a3-5c3ba90a1b6f
112,15839,"The Cukoo Stone, Carfury",Margaret Orchard,1969,Morrab Library,35mm Slide,Photograph,ORCH.SL.0113,Madron,Architecture,"Ancient standing stone, located near the Ding Dong Mine, Madron Parish.

This stone is about 3m tall. In 1958 the site was excavated by Vivien Russell and Peter Pool, but nothing of interest was discovered. It is likely to date from the neolithic or bronze age.",Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15839,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:69831a50-79d7-492f-a64a-f6f8f1960788 
