,itemId,Subject,Date,Format,Title,Description,Rights,Identifier,Creator,Coverage,Relation,Type
0,5482,Ancient Implements,1930,Quarter Plate Glass Negative,Water-worn stones and quern on stone steps.,Water-worn stones and quern on stone steps.,Morrab Library,O.1,Stanley Opie,,,
1,5483,Ancient Implements,1930,Quarter Plate Glass Negative,Worked stones on stone wall,Worked stones on stone wall. Possibly used for grinding.,Morrab Library,O.2,Stanley Opie,U,,
2,5484,Ancient Implements,1930,Quarter Plate Glass Negative,Worked stones on stone wall,Worked stones on stone wall. Possibly used for grinding.,Morrab Library,O.3,Stanley Opie,,,
3,5485,Ancient Implements,1930,Quarter Plate Glass Negative,Water-worn stones and quern on stone steps.,water-worn stones and quern on stone steps.,Morrab Library,O.4,Stanley Opie,,,
4,5486,Ancient Implements,1930,Quarter Plate Glass Negative,Worked stones including quern and rubber.,Worked stones including quern and rubber.,Morrab Library,O.5,Stanley Opie,,,
5,5487,Ancient Implements,1930,Quarter Plate Glass Negative,Smooth stone in field hedge.,Smooth stone in field hedge.,Morrab Library,O.6,Stanley Opie,,,
6,5488,Ancient Implements,1930,Quarter Plate Glass Negative,Worked stones on stone wall,Worked stones on stone wall.,Morrab Library,O.7,Stanley Opie,,,
7,5489,Ancient Implements,1930,Quarter Plate Glass Negative,Worked stones on stone wall.,Worked stones on stone wall.,Morrab Library,O.8,Stanley Opie,,,
8,5490,Ancient Implements,1930,Quarter Plate Glass Negative,Worked stones in doorway.,Worked stones in doorway.,Morrab Library,O.9,Stanley Opie,,,
9,5491,Ancient Implements,1930,Quarter Plate Glass Negative,Worked stones on stone steps. Some marked as if from a collection,Worked stones on stone steps. Some marked as if from a collection,Morrab Library,O.10,Stanley Opie,,,
10,5492,Ancient Implements,1930,Quarter Plate Glass Negative,Worked and smooth stones by a wall.,Worked and smooth stones by a wall.,Morrab Library,O.11,Stanley Opie,,,
11,5493,Ancient Implements,1930,Quarter Plate Glass Negative,Quern and ? stone axe head?.,Quern and ? stone axe head?.,Morrab Library,O.12,Stanley Opie,,,
12,5494,Ancient Implements,1930,Quarter Plate Glass Negative,Quern and ? stone axe head?.,Quern and ? stone axe head?.,Morrab Library,O.13,Stanley Opie,,,
13,5495,Ancient Implements,1930,Quarter Plate Glass Negative,"Quern and axe head, or pestle and mortar","Original caption: ""Quern and ? stone axe head?.""",Morrab Library,O.14,Stanley Opie,,,
14,5496,Ancient Implements,1930,Quarter Plate Glass Negative,"Metal dagger, 7"" length.","Metal dagger, 7"" length.",Morrab Library,O.15,Stanley Opie,,,
15,5497,Ancient Implements,1930,Quarter Plate Glass Negative,"Metal dagger, 7"" length.","Metal dagger, 7"" length.",Morrab Library,O.16,Stanley Opie,carnon Redruth?,,
16,5498,Ancient Implements,1930,Quarter Plate Glass Negative,Deer horn pick.,Deer horn pick.,Morrab Library,O.17,Stanley Opie,,,
17,5499,Ancient Implements,1930,Quarter Plate Glass Negative,Deer horn pick.,Deer horn pick.,Morrab Library,O.18,Stanley Opie,,,
18,5500,Ancient Implements,1930,Quarter Plate Glass Negative,Deer horn pick.,Deer horn pick.,Morrab Library,O.19,Stanley Opie,,,
19,5501,Ancient Implements,1930,Quarter Plate Glass Negative,Deer horn pick.,Deer horn pick.,Morrab Library,O.20,Stanley Opie From unknown book,,,
20,5502,Ancient Implements,1930,Quarter Plate Glass Negative,Deer horn pick,Deer horn pick.,Morrab Library,O.21,Stanley Opie p181 of unknown book,,,
21,5503,Archaeology,1930,Quarter Plate Glass Negative,Deer horn pick,Deer horn pick,Morrab Library,O.22,Stanley Opie,,,
22,5504,Ancient Implements,,Quarter Plate Glass Negative,Drawing of 'Caschrom from Skye' and 'Old Plough from Brittany',Drawing of 'Caschrom from Skye.' and 'Old Plough from Brittany' .,Morrab Library,O.23,Stanley Opie,,,
23,5505,Ancient Implements,,Quarter Plate Glass Negative,Drawings of ancient farming implements,Drawings of ancient farming implements .,Morrab Library,O.24,Stanley Opie Fig 17 of unknown book,,,
24,5506,Ancient Implements,,Quarter Plate Glass Negative,Egg shape stone in Breage Church,Egg shape stone .,Morrab Library,O.25,Stanley Opie,Breage Church nr. Helston,,
25,5507,Ancient Implements,,Quarter Plate Glass Negative,Egg shape stone in Breage Church,Egg shape stone .,Morrab Library,O.26,Stanley Opie,Breage Church nr. Helston,,
26,5508,Ancient Implements,,Quarter Plate Glass Negative,"Bronze saw,  4"" length","Bronze saw,  4"" length .",Morrab Library,O.27,Stanley Opie,St. Mawgan nr. Helston,,
27,5509,Ancient Implements,,Quarter Plate Glass Negative,"Bronze saw,  4"" length .","Bronze saw,  4"" length .",Morrab Library,O.28,Stanley Opie,St. Mawgan nr. Helston,,
28,5510,Ancient Implements,,Quarter Plate Glass Negative,A ferule ?and pot?,A ferule ?and pot?.,Morrab Library,O.29,Stanley Opie,Lelant nr. Hayle,,
29,5511,Ancient Implements,,Quarter Plate Glass Negative,A ferule ?and pot?,A ferule ?and pot?.,Morrab Library,O.30,Stanley Opie,Lelant nr. Hayle,,
30,5512,Ancient Implements,,Quarter Plate Glass Negative,Drawing of 'Tranchet or Hatchet,"Photograph of a drawing of 'Tranchet, or Hatchet, from Danish shell-mound'.",Morrab Library,O.31,Stanley Opie,,,
31,5513,Ancient Implements,,Quarter Plate Glass Negative,Stone implement found at St Erth,Stone implement.,Morrab Library,O.32,Stanley Opie,St. Erth nr. Hayle,,
32,5514,Ancient Implements,,Quarter Plate Glass Negative,Stone implement found at St Erth,Stone implement.,Morrab Library,O.33,Stanley Opie,St. Erth nr. Hayle,,
33,5515,Ancient Implements,,Quarter Plate Glass Negative,Stone implement found at St Erth,Stone implement. Opie,Morrab Library,O.34,PZNHAS collection see Trans. Pznhas (ns)I. (1880-1)p74,St. Erth nr. Hayle,,
34,5516,Ancient Implements,,Quarter Plate Glass Negative,Stone implement found at St Erth,Stone implement.,Morrab Library,O.35,Stanley Opie,St. Erth nr. Hayle,,
35,5517,Ancient Implements,,Quarter Plate Glass Negative,Three crucibles or bowls found at Zennor in 1879,"The label reads ""Zennor 1879 RW""",Morrab Library,O.36,Stanley Opie,,,
36,5518,Ancient Implements,,Quarter Plate Glass Negative,Three crucibles or bowls found at Zennor in 1879,"The label reads ""Zennor 1879 RW""",Morrab Library,O.37,Stanley Opie,,,
37,5519,Ancient Implements,,Quarter Plate Glass Negative,"Stone axe head from Higher Roseworthy, Camborne",Stone axe head . Opie,Morrab Library,O.38,PZNHAS collection see Trans. Pznhas (ns)I. (1880-1)p74,"Higher Roseworthy, Camborne",,
38,5520,Ancient Implements,,Quarter Plate Glass Negative,Stone ?mortar? bowl,Stone ?mortar? bowl. Opie,Morrab Library,O.39,PZNHAS?,,,
39,5521,Ancient Implements,,Quarter Plate Glass Negative,"Hammer stone from Rayle Farm, Illogan","The label reads ""Hammer Stone discovered by a workman whilst ploughing in a field at Rayle farm, Illogan, 1904. Presented by W. J. Fox Esq. 14 ' 1904.""

RIC no 14',1904 see JRIC vol 16 (1904) p 224",Morrab Library,O.40,,"Rayle Farm, Illogan",,
40,5522,Ancient Implements,,Quarter Plate Glass Negative,"Hammer stone from Rayle Farm, Illogan","The label reads ""Hammer Stone discovered by a workman whilst ploughing in a field at Rayle farm, Illogan, 1904. Presented by W. J. Fox Esq. 14 ' 1904.""

RIC no 14',1904 see JRIC vol 16 (1904) p 224",Morrab Library,O.41,,"Rayle Farm, Illogan",,
41,5523,Ancient Implements,,Quarter Plate Glass Negative,"Hammer stone found at West Seaton, Camborne","The label reads ""Hammer Stone. Site of Ancient Camp, West Seaton, Camborne"".",Morrab Library,O.42,RIC or PZNHAS,"Site of Ancient Camp, West Seaton, Camborne",,
42,5524,Ancient Implements,,Quarter Plate Glass Negative,"Hammer stone found at West Seaton, Camborne","The label reads ""Hammer Stone. Site of Ancient Camp, West Seaton, Camborne"".",Morrab Library,O.43,Stanley Opie,"Site of Ancient Camp, West Seaton, Camborne",,
43,5525,Ancient Implements,,Quarter Plate Glass Negative,"Lantern slide - Hammer stone found at West Seaton, Camborne","This is a positive slide, slightly damaged and with chemical damage within the sealed emulsion. Duplicate of O.43.",Morrab Library,O.44,Stanley Opie,"Site of Ancient Camp, West Seaton, Camborne",,
44,5526,Artifacts,,Quarter Plate Glass Negative,"Pieces of worked stone or pottery, including a spindlewhorl.","Pieces of worked stone or pottery, including a spindlewhorl.",Morrab Library,O.45,Stanley Opie,,,
45,5527,Artifacts,,Quarter Plate Glass Negative,Gold nugget found Jan 1808 . Opie,Gold nugget found Jan 1808 . Opie,Morrab Library,O.46,RIC - Rashleigh Collection,"Carnon Valley Steam works, nr. Perranarworthal",,
46,5528,Artifacts,,Quarter Plate Glass Negative,Gold nugget found Jan 1808 .,Gold nugget found Jan 1808 .,Morrab Library,O.47,Stanley Opie,"Carnon Valley Steam works, nr. Perranarworthal",,
47,5529,Artifacts,,Quarter Plate Glass Negative,Gold nugget found Jan 1808 .,Gold nugget found Jan 1808 .,Morrab Library,O.48,Stanley Opie,"Carnon Valley Steam works, nr. Perranarworthal",,
48,5530,Artifacts,,Quarter Plate Glass Negative,Gold nugget found Jan 1808 .,Gold nugget found Jan 1808 .,Morrab Library,O.49,Stanley Opie,"Carnon Valley Steam works, nr. Perranarworthal",,
49,5531,Artifacts,,Quarter Plate Glass Negative,Unknown artifacts including rings?.,Unknown artifacts including rings?.,Morrab Library,O.50,Stanley Opie,,,
50,5532,Artifacts,,Quarter Plate Glass Negative,Unknown artifacts including rings?. Opie,Unknown artifacts including rings?. Opie,Morrab Library,O.51,PZNHAS?,,,
51,5533,Artifacts,,Quarter Plate Glass Negative,Roman coins. Opie,Roman coins. Opie,Morrab Library,O.52,From W.C Borlase's 'Naenia Cornubiae' p204,"Penponds Bottom and Rosewarne Park, Camborne",,
52,5534,Artifacts,,Quarter Plate Glass Negative,Drawing of 'The Gerrans Urn' . Opie,Drawing of 'The Gerrans Urn' . Opie,Morrab Library,O.53,From JRIC vol 7 facing p144,nr. Truro,,
53,5535,Artifacts,,Quarter Plate Glass Negative,Drawing of 'The Hustyn Urn' .,Drawing of 'The Hustyn Urn' .,Morrab Library,O.54,Stanley Opie,St. Breock,,
54,5536,Artifacts,1931-12,Quarter Plate Glass Negative,The Towednack Gold Hoard.,The Towednack Gold Hoard.,Morrab Library,O.55,Stanley Opie,"Amalveor, Towednack Dec 1931",,
55,5537,Artifacts,1931-12,Quarter Plate Glass Negative,The Towednack Gold Hoard.,The Towednack Gold Hoard.,Morrab Library,O.56,Stanley Opie,"Amalveor, Towednack Dec 1931",,
56,5538,Artifacts,1931-12,Quarter Plate Glass Negative,The Towednack Gold Hoard.,The Towednack Gold Hoard.,Morrab Library,O.57,Stanley Opie,"Amalveor, Towednack Dec 1931",,
57,5539,Artifacts,1931-12,Quarter Plate Glass Negative,The Towednack Gold Hoard.,The Towednack Gold Hoard.,Morrab Library,O.58,Stanley Opie,"Amalveor, Towednack",,
58,5540,Artifacts,,Quarter Plate Glass Negative,The Towednack Gold Hoard.,The Towednack Gold Hoard.,Morrab Library,O.59,Stanley Opie,"Amalveor, Towednack Dec 1931",,
59,5541,Artifacts,,Quarter Plate Glass Negative,The Towednack Gold Hoard.,The Towednack Gold Hoard.,Morrab Library,O.60,Stanley Opie,"Amalveor, Towednack Dec 1931",,
60,5542,Artifacts,,Quarter Plate Glass Negative,Drawing of back of bronze mirror . Opie,Drawing of back of bronze mirror . Opie,Morrab Library,O.61,Fig 132 from unknown book,"Trelan Bahow, St Keverne",,
61,5543,Artifacts,,Quarter Plate Glass Negative,Drawing of gold armlet,Drawing of? gold armlet . Opie,Morrab Library,O.62,From JRIC vol 3 Plates between p48/9,"Coxwold, Linconshire",,
62,5544,Artifacts,,Quarter Plate Glass Negative,Drawings of late bronz age gold bracelets. Opie,Drawings of late bronz age gold bracelets. Opie,Morrab Library,O.63,Fig 2b p93 Hencken's 'Archaeology of Cornwall and Scilly,"Morvah, W Penwith",,
63,5545,Artifacts,,Quarter Plate Glass Negative,Drawings of portions of armlet and fragment of 'Mamillary brooch'.,Drawings of portions of armlet and fragment of 'Mamillary brooch'. Opie,Morrab Library,O.64,From JRIC vol 3 Plates between p48/9,Tredinny nr. Penzance,,
64,5546,Artifacts,,Quarter Plate Glass Negative,Drawing of 'The Rillaton Cup',Drawing of 'The Rillaton Cup'. Opie,Morrab Library,O.65,From unknown book,"Linkhorn, E. Cornwall",,
65,5547,Artifacts,,Quarter Plate Glass Negative,Drawing of 'The Rillaton Cup'. Opie,Drawing of 'The Rillaton Cup'. Opie,Morrab Library,O.66,From unknown book,"Linkhorn, E. Cornwall",,
