id,nodeType,url,created,updated,status,type,creator,owner,publisher,copyright,tags,when,date,what,learn,locations,files,guid,publisher_ref,title_en,title_cy,description_en,description_cy,author_id,author_name,license_reproducedPermission,license_additionalText,license_type,original_item_url_en,original_item_url_cy,description,license_additionalText_en,license_additionalText_cy,license_reproducedPermission_en,license_reproducedPermission_cy,thumbnail,collection_items,content_en,content_cy,content
31473,item,https://www.peoplescollection.wales/items/31473,1317294166,1596280534,published,item,Unknown,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.877560000000', 'lon': '-8.544981000000', 'description': {'en': 'praza do toural ', 'cy': 'praza do toural '}}]","[{'originalFilename': '114015_toural .jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114015_toural%20.jpg', 'type': 'image', 'target_id': '361211'}]",f388053f-a009-4014-93c7-bfc94db93466,,praza do toural ,praza do toural ,"The main building of this square is the Pazo de Benda&ntilde;a, S. XVIII with large balconies with iron railings of great artistic value. Hosted the Casino de Compostela and today is temporary headquarters of the foundation Granell.
The facade of the Pazo de Benda&ntilde;a is crowned by a statue of Atlas supporting a globe weighing on his shoulders.","The main building of this square is the Pazo de Benda&ntilde;a, S. XVIII with large balconies with iron railings of great artistic value. Hosted the Casino de Compostela and today is temporary headquarters of the foundation Granell.
The facade of the Pazo de Benda&ntilde;a is crowned by a statue of Atlas supporting a globe weighing on his shoulders.",1658,anavm,[],[],,,,,,,,,,,,,
31474,item,https://www.peoplescollection.wales/items/31474,1317294879,1317294879,draft,item,,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.877310000000', 'lon': '-8.546046000000', 'node': [{'target_id': '31474'}]}]","[{'originalFilename': '114019_Faxeira.jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114019_Faxeira.jpg', 'type': 'image', 'target_id': '361212'}]",c5a22c16-c98b-46c0-a402-81371d18edeb,,porta Faxeira,porta Faxeira,,,1658,anavm,[],[],,,,[],,,,,,,,,
31475,item,https://www.peoplescollection.wales/items/31475,1317295572,1501162949,published,item,Unknown,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.878060000000', 'lon': '-8.548277000000'}]","[{'originalFilename': '114023_alameda.jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114023_alameda.jpg', 'type': 'image', 'target_id': '361213'}]",b836b7ca-a85b-462e-8695-8782f3216356,,paseo dos leóns na Alameda,paseo dos leóns na Alameda,fromtheAlamedaParkcanenjoy one ofthe magnificentcity parksandprivileged viewsof the old townand the cathedral.,fromtheAlamedaParkcanenjoy one ofthe magnificentcity parksandprivileged viewsof the old townand the cathedral.,1658,anavm,[],[],,,,,,,,,,,,,
31476,item,https://www.peoplescollection.wales/items/31476,1317296290,1317296290,draft,item,,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.878400000000', 'lon': '-8.545230000000', 'node': [{'target_id': '31476'}]}]","[{'originalFilename': '114025_porta faxeira .jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114025_porta%20faxeira%20.jpg', 'type': 'image', 'target_id': '361214'}]",dfd58c5d-f932-4263-bc4d-2f473199d298,,rua do franco ,rua do franco ,,,1658,anavm,[],[],,,,[],,,,,,,,,
31477,item,https://www.peoplescollection.wales/items/31477,1317302485,1317302485,draft,item,,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.879380000000', 'lon': '-8.545359000000', 'node': [{'target_id': '31477'}]}]","[{'originalFilename': '114039_pazo de fonseca .jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114039_pazo%20de%20fonseca%20.jpg', 'type': 'image', 'target_id': '361215'}]",478b123f-5e55-414b-b722-919502de4f37,,pazo de fonseca ,pazo de fonseca ,,,1658,anavm,[],[],,,,[],,,,,,,,,
31478,item,https://www.peoplescollection.wales/items/31478,1317303807,1317303807,draft,item,,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.880490000000', 'lon': '-8.545734000000', 'node': [{'target_id': '31478'}]}]","[{'originalFilename': '114050_praza do obradoiro.jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114050_praza%20do%20obradoiro.jpg', 'type': 'image', 'target_id': '361216'}]",13e4b62d-77f5-4aec-b0b1-c918c3c5ee69,,praza do obradoiro,praza do obradoiro,,,1658,anavm,[],[],,,,[],,,,,,,,,
31479,item,https://www.peoplescollection.wales/items/31479,1317304308,1596280536,published,item,Unknown,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.880540000000', 'lon': '-8.543728000000', 'description': {'en': 'praza da quintana', 'cy': 'praza da quintana'}}]","[{'originalFilename': '114051_8 quintana.jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114051_8%20quintana.jpg', 'type': 'image', 'target_id': '361217'}]",71802e88-3256-4c2c-83fc-ce0a079875c4,,praza da quintana,praza da quintana,"The facade of the cathedral that overlooks the Plaza de la Quintana has two doors, Puerta Real, in Baroque style, which began under the leadership of José de Vega y Verdugo José de la Pe&ntilde;a de Toro in 1666 and completed by Domingo de Andrade in 1700, he made some great columns that cover two floors of windows, a balustrade with large pinnacles and a little building with an equestrian statue of Santiago (now defunct), very ornate with decorative fruit clusters and large-scale military trophies. Through this door accessed the kings of Spain to the cathedral, hence its name, and its threshold is the royal shield. The so-called Holy Door or Gate of Atonement is the closest to the stairs, is usually closed with a gate and opens only the jubilee years, on December 31 last year. It was one of the seven gates and was less dedicated to St. Pelayo (whose monastery is just opposite). On this door can be seen in niches image of James and his disciples Athanasius and Theodore at his side. In the lower body and both sides of the door were placed twenty-four figures of prophets and apostles (including that of the Santiago) coming from the old choir teacher Matthew Stone. Inside this door by passing a small courtyard is the true Holy Door, which enters the ambulatory of the apse of the temple.","The facade of the cathedral that overlooks the Plaza de la Quintana has two doors, Puerta Real, in Baroque style, which began under the leadership of José de Vega y Verdugo José de la Pe&ntilde;a de Toro in 1666 and completed by Domingo de Andrade in 1700, he made some great columns that cover two floors of windows, a balustrade with large pinnacles and a little building with an equestrian statue of Santiago (now defunct), very ornate with decorative fruit clusters and large-scale military trophies. Through this door accessed the kings of Spain to the cathedral, hence its name, and its threshold is the royal shield. The so-called Holy Door or Gate of Atonement is the closest to the stairs, is usually closed with a gate and opens only the jubilee years, on December 31 last year. It was one of the seven gates and was less dedicated to St. Pelayo (whose monastery is just opposite). On this door can be seen in niches image of James and his disciples Athanasius and Theodore at his side. In the lower body and both sides of the door were placed twenty-four figures of prophets and apostles (including that of the Santiago) coming from the old choir teacher Matthew Stone. Inside this door by passing a small courtyard is the true Holy Door, which enters the ambulatory of the apse of the temple.",1658,anavm,[],[],,,,,,,,,,,,,
31480,item,https://www.peoplescollection.wales/items/31480,1317305188,1596280538,published,item,Unknown,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.881150000000', 'lon': '-8.544275000000', 'description': {'en': 'praza da azabacheria', 'cy': 'praza da azabacheria'}}]","[{'originalFilename': '114054_10_05_26_catedral-plaza-azabacheria_foto_martin_javier.jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114054_10_05_26_catedral-plaza-azabacheria_foto_martin_javier.jpg', 'type': 'image', 'target_id': '361218'}]",a5936257-5da1-4466-baad-651510d59e11,,praza da azabacheria,praza da azabacheria,"this place serves as a interspace between the facades of the Cathedral and the main entrance of the Convent of San Martino Pinario.
The north facade of the cathedral also called Azabacher&iacute;a, is located in the Plaza de la Inmaculada or Azabacher&iacute;a, draining the last part of the French, Primitivo, North and English roads through the ancient gate of Paradise.
This gate was demolished after suffering a fire 1758, some sculptural pieces that survived were placed on the facade of Plater&iacute;as. The new was designed in Baroque style by Lucas Ferro Caaveiro, and finished by Domingo Lois Monteagudo, and Clement Fernandez Sarela in neoclassical style, but retained some traces of the Baroque, 1769.
At the top of the facade is a statue of Santiago del S. XVIII, with two kings in prayer: Alfonso III and Ordo&ntilde;o II. In the center stands the statue of Faith","this place serves as a interspace between the facades of the Cathedral and the main entrance of the Convent of San Martino Pinario.
The north facade of the cathedral also called Azabacher&iacute;a, is located in the Plaza de la Inmaculada or Azabacher&iacute;a, draining the last part of the French, Primitivo, North and English roads through the ancient gate of Paradise.
This gate was demolished after suffering a fire 1758, some sculptural pieces that survived were placed on the facade of Plater&iacute;as. The new was designed in Baroque style by Lucas Ferro Caaveiro, and finished by Domingo Lois Monteagudo, and Clement Fernandez Sarela in neoclassical style, but retained some traces of the Baroque, 1769.
At the top of the facade is a statue of Santiago del S. XVIII, with two kings in prayer: Alfonso III and Ordo&ntilde;o II. In the center stands the statue of Faith",1658,anavm,[],[],,,,,,,,,,,,,
31481,item,https://www.peoplescollection.wales/items/31481,1317307564,1596280757,published,item,Unknown,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.882260000000', 'lon': '-8.543621000000', 'description': {'en': 'san martin pinario ', 'cy': 'san martin pinario '}}]","[{'originalFilename': '114061_8 san martin pinario .jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114061_8%20san%20martin%20pinario%20.jpg', 'type': 'image', 'target_id': '361219'}]",256160cb-06c5-4b04-a59c-c8c4a3f7bde4,,san martin pinario ,san martin pinario ,"completed in 1652, is the work of Matthew Lopez and Gonzalez de Ara&uacute;jo.
The front is of altarpiece structure and shows the figures of the Virgin and Child and saints Benedictine abbots. The Eternal Father chairs the triangular fronton. San Martin de Tours ends the set on top with their classical representation, on a horse and breaking his cloak to shelter a beggar.
The plan of the church has a longitudinal nave, covered with a barrel vault with false coffers. the nave opens to six side chapels that communicate with each other and have the same type of vault the nave. The cruise illuminates by a cupola in half. The choir stalls, Baroque, is the work of Matthew de Prado and the three main altarpiece, along with the Chapel of the Relief of the same temple, are by Fernando de Casas y Novoa, creating one of the finest ensembles Baroque nationally and internationally.
Currently, this building has enabled part as a museum of religious art","completed in 1652, is the work of Matthew Lopez and Gonzalez de Ara&uacute;jo.
The front is of altarpiece structure and shows the figures of the Virgin and Child and saints Benedictine abbots. The Eternal Father chairs the triangular fronton. San Martin de Tours ends the set on top with their classical representation, on a horse and breaking his cloak to shelter a beggar.
The plan of the church has a longitudinal nave, covered with a barrel vault with false coffers. the nave opens to six side chapels that communicate with each other and have the same type of vault the nave. The cruise illuminates by a cupola in half. The choir stalls, Baroque, is the work of Matthew de Prado and the three main altarpiece, along with the Chapel of the Relief of the same temple, are by Fernando de Casas y Novoa, creating one of the finest ensembles Baroque nationally and internationally.
Currently, this building has enabled part as a museum of religious art",1658,anavm,[],[],,,,,,,,,,,,,
31482,item,https://www.peoplescollection.wales/items/31482,1317308602,1501162963,published,item,Unknown,Unknown,,,['way of St. James'],[],,[],[],"[{'lat': '42.878010000000', 'lon': '-8.542288000000'}]","[{'originalFilename': '114064_1 arco mazarelos.jpg', 'url': 'https://www.peoplescollection.wales/sites/default/files/images/2014/February/114064_1%20arco%20mazarelos.jpg', 'type': 'image', 'target_id': '361220'}]",8b55d109-e6de-4fd2-823a-b3d3ad51dfd6,,arco mazarelos,arco mazarelos,"The arc of Mazarelos is one of the ancient gateways to Santiago de Compostela in the Middle Ages when it was still a walled city.
Located next to the College of Philosophy at the University of Santiago in Plaza de Mazarelos has great historical value because it is the only one of the seven gates which had the wall that still stands up.","The arc of Mazarelos is one of the ancient gateways to Santiago de Compostela in the Middle Ages when it was still a walled city.
Located next to the College of Philosophy at the University of Santiago in Plaza de Mazarelos has great historical value because it is the only one of the seven gates which had the wall that still stands up.",1658,anavm,[],[],,,,,,,,,,,,,
