Level,Location,SHC Ref No,System Ref No,Title,Date,Quantity,Column8,Column21,Column22,Column23,Column24,Column26,Column27,Column29
Item,"Surrey History Centre, Woking",1663/1/3,1663/1/1/1/3,"Transcript from a tape recording of oral history recollections of life in the parish of Stoughton, recorded for the exhibition.  Participants include Mr & Mrs B Davies, Mr Bob Wheeler, Mrs Evelyn Fox (nee Woodford), J Dawson of Manor Road Stores, Miss Grace Clark and Mrs Jean Dawson  (nee Glew).  7ff",1988,,,,Open,,,,,
Collection,"Surrey History Centre, Woking",2464,2464,'MEMORIES OF OLD WEST HORSLEY': AUDIO TAPE RECORDINGS OF AN ORAL HISTORY PROJECT IN WEST HORSLEY,1975-1977,,,Open,,,There are no access restrictions.,Deposited by West Horsley Parish Council in June 1980.,The recordings were made by Mr WF Dawson and Mrs J Wood.,
Item,"Surrey History Centre, Woking",2464/box1,2464/1/1/1/1,"The recordings mostly describe aspects of West Horsley village life between the wars but some of them describe at first hand the period before World War I and in a number of cases the speakers draw on personal historical research to describe aspects of the village in earlier periods.\r\n25 audio tape cassettes with itemised index of donors, speakers and topics covered in each recording.",1975-1977,,,,,,Open,,,
Item,"Surrey History Centre, Woking",2693/8,2693/1/1/1/7,"Tape recording of a conversation between Mrs Morley, aged 80, Mrs Payne, aged 80, lifelong residents of Salfords, Charles Walter, aged 83, lifelong member of Salfords church, and Graham Castle, aged 68, of Picketts Farm",Oct 1981,,,,,,Open,,,
Item,"Surrey History Centre, Woking",3408/1a,3408/1/1/1/1,Tape recording of an interview with Sir Cyril Black (archive copy),20 Feb 1987,,,,,Open,,,,
Item,"Surrey History Centre, Woking",3408/1b,3408/1/1/1/2,"Tape recording of an interview with Sir Cyril Black (copy for use, nd)",(20 Feb 1987),,,,,Open,,,,
Item,"Surrey History Centre, Woking",3408/2a,3408/1/1/1/3,Tape recording of an interview with Sir Edward Britton (archive copy),11 Mar 1987,,,,,Open,,,,
Item,"Surrey History Centre, Woking",3408/2b,3408/1/1/1/4,"Tape recording of an interview with Sir Edward Britton (copy for use, nd)",(11 Mar 1987),,,,,Open,,,,
Item,"Surrey History Centre, Woking",3682/2/19,3682/2/4/1/9,"'The last 100 years': conversations with old parishioners of St Augustine, South Croydon, concerning local sites; World War II; Sunday School; and funerals. Audio tape recorded c.1984",c.1984,,,,,,,,,
Item,"Surrey History Centre, Woking",3719/15/9,3719/15/1/1/8,"Reminiscences by Philip Horton, secretary to the governors of Reed's School, Cobham, from 1944, recorded on a cassette tape.\r\n\r\nThe subjects include the school's name; the crest; funds; Houses; visits of royalty; evacuation during the war; the early history of Reed's School; closure of the girls' school; nomination of bursary holders for the Queen's bursary; early headmasters; the election of pupils; the choice of foundationers and the location of annual dinners.",nd [post 1944],,,,,,Open,,,
Item,"Surrey History Centre, Woking",4187/1-2,4187/1/1/1/1,"Reminiscences of Eddie Chilman, head porter of East Surrey Hospital, Redhill  (2 tapes, archive copies)",1993,,,,,Open,,,,
Item,"Surrey History Centre, Woking",4187/3-4,4187/1/1/1/2,"Reminiscences of Eddie Chilman, head porter of East Surrey Hospital, Redhill  (2 tapes, original recordings)",1993,,,,,Open,,,,
Collection,"Surrey History Centre, Woking",4417,4417,"WALTON ON THE HILL: ORAL HISTORY PROJECT NOTES, [1991 - 1992]; RECORDS RELATING TO  WALTON ON THE HILL AND BANSTEAD PROPERTIES, 1814 - 1958; PARISH RECORDS, (1818) - (1992): MAPS, 1817 - 1938; MISCELLANEOUS RECORDS, [?1917]",1814-1992,,,Open,,,There are no access restrictions.,Deposited by Walton on the Hill and District Local History Society in November 1995.,,
Series,"Surrey History Centre, Woking",4417/1/,4417/1,ORAL HISTORY PROJECT,1991-1992,,,,Open,,,,,
Item,"Surrey History Centre, Woking",4417/1/1,4417/1/1/1/1,"Notes by Fred Elliott on his memories of Walton Manor and the estate, 1911 - 1930",nd [1991],,,,Open,,,,,
Item,"Surrey History Centre, Woking",4417/1/7,4417/1/1/1/7,Miscellaneous transcripts and notes made as part of the oral history project,nd [1991],,,,Open,,,,,
Item,"Surrey History Centre, Woking",5392/1/1,5392/1/1/1/1,"Audio tape recording of interview with Percy Hole of Guildford, by Walter Thelwall, taken in Frensham Ward, Royal Surrey County Hospital, Guildford.\r\n\r\nMr Hole was an apprentice at Dennis Bros, Guildford, and later at Weyside Engineering, Farnham Road, Guildford.\r\n\r\nMr Thelwall was also employed by Dennis Bros, in 1940.\r\n\r\nTopics of the conversation as they arise include: \r\n\r\nPercy's father's employment at No 7 Shop, Dennis Bros.  He made 'sprags' for lorries and spliced wire cables for barrage balloons during the first World War.\r\n\r\nRecollection of the petrol-driven shunting engine used on the factory site, which Percy rode on as a boy [connecting to the Southern Railway].\r\n\r\nPercy's apprenticeship at Dennis.  He began as office boy in various offices (cost office, drawing office, staff, publicity), then transferred to the factory.  He was soon made redundant: women, then apprentices were laid off by Dennis in 1920\r\n\r\nPercy's apprenticeship was transferred to Weyside Engineering in Farnham Road, Guildford.\r\n\r\nPercy's recollection of one of the Dennis managers, for whom Percy brought a new bottle of Whisky daily\r\n\r\nRecollection of the running of the firm, which was bankrupt in 1912 [before being floated in 1913].  'German' money went into the company.  Interest in lorries only came with the war.\r\n\r\nPercy's recollection of a Dennis 3 ton lorry used by Percy with his boss Harold Puttock (who left in 1926): the gears were perfect after 300 thousand miles.\r\n\r\nPercy's final task at Dennis in 1920, which was to seal 750 letters of redundancy, including one addressed to his father.\r\n\r\nRecollections by Percy Hole and Walter Thelwall of fellow employees at Dennis: Bill/James Jolly, Billy Greaves, Joe Taylor, Shackleton, Warrener, and 'Old Flo'; also man who worked on the roller mills, and Percy's sister, who worked on the mills, 1915-1919, doing shackles (semi-automatic mills were still in use in 1940); Mr Thelwall recalls Frank Brown, who came to Dennis as an apprentice, worked on turning machines, and left Dennis after 33 years to become an inspector at Weyside Engineering [see -/4 below].\r\n\r\nPercy's recollections of an accident at No 3 Shop, when the Dennis' chauffeur took the casualty in Mrs Dennis' Dennis car\r\n\r\nMr Thelwall's recollection of a near accident at No 7 Shop during World War II, when the hair of one of the girls was caught in a machine spindle.\r\n\r\nThe 8 girls were sent from Tottenham.\r\n\r\nPercy's recollections of serving tea to the staff; recollections of tea shops of Guildford: Queens Cakes, Onslow Street, and Hicks Bakers.  Percy describes the breakdown of Hicks' Ford van when he replaced the engine oil with 'doughnut oil'.\r\n\r\nRecollection of the 'Dennis Tatler', which was a magazine run by a Mr Reed, given free to employees.  The Athletic Club and Dance Club and concert party events were reported.\r\n\r\nRecollection of Percy and the new office boy shooting at bulbs.  The new boy was gassed, as the bulbs were the gas-filled variety.\r\n\r\nThe steering on Dennis vehicles is praised.\r\n\r\nPercy's recollection of having been the first to drive the Dennis 36 seater charabanc on road, when he was 14.  He had his photograph taken by Dennis publicity.\r\n\r\nPercy's recollection of criticising the Dennis Stork, without realising he was speaking to the designer, Mr Milne.  Recollections of the various makes of cars driven by Dennis staff.\r\n\r\nDuration: 42 mins approx",1983,,,,,Open,,,,
