ID,Reference number,Level,title,Description,Administrative_and_biographical_history,Size,Creator,Date_of_creation,area,Place,Access,Copyright_holder,Accession_number,Repository,Storage_location,Notes,Image Filename,Image Title,Attachment Filename,Attachment Title,Map Latitude,Map Longitude,Map Address
20469,WMK,collection,Women Who Made Milton Keynes,"Biographies of the ten women featured in the exhibition 'Women who made Milton Keynes' produced by the Milton Keynes group of The Fawcett Society. The exhibition explored the lives and contributions of ten pioneering women notable for their work and achievements in developing Milton Keynes. The project formed part of the MK50 celebrations in 2017, marking the 50th anniversary of the designation of the new town. Includes an introduction written by the group.",,11 PDF files,Milton Keynes Fawcett Society Group,2017-2018,,,Open,Milton Keynes Fawcett Society Group,A/4/18,GB 3420,Digital,,featured.jpg,Women Who Made Milton Keynes,,,,,
20471,WMK/001,item,Women Who Made Milton Keynes,"Biographical notes on ten women who featured in an exhibition organised by the Milton Keynes group of the Fawcett Society, Milton Keynes Central Library, November-December 2017. Introduction to the project and women featured, August 2018.",,1 PDF file,Gill Kirkup,2018,,,Open,,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/09/WMK-001.pdf,Women Who Made Milton Keynes,,,
20476,WMK/002,item,Deirdre Battista,"Biography of Deirdre Battista detailing the activities and projects with which she has been involved in Milton Keynes. These include: co-ordinating the United Kingdom leg of the Sacred Run for Life and Land, hosting Native American lacrosse players promoting land rights, instigating the One World Quilt programme and co-ordinating the construction of a Millenium Sculpture - the Circle of Hearts Medicine Wheel at Willen Lake.",,1 PDF file,Sheila Thornton,2017,Willen Lake,,Open,Milton Keynes Fawcett Society Group,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/10/WMK-002_Deirdre-Battista-e-bio-Sept-2018.pdf,Deirdre Battista,,,
20479,WMK/003,item,Teresa Collard,"Biography of Teresa Collard detailing her activities related to her role as Arts and Entertainments Officer with Milton Keynes Borough Council, 1975-1984. These activities include: co-founding the Music and Arts Community Action Project (MADCAP), running February Festival of the Arts, setting up the Jennie Lee Theatre at Bletchley Leisure Centre, setting up Milton Keynes' first art gallery at Milton Keynes Central Library and helping to launch the project for a major commercial theatre to be built, which is now Milton Keynes Theatre.",,1 PDF file,Barbara Mayor,2017,Central Milton Keynes,,Open,Milton Keynes Fawcett Society Group,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/10/WMK-003_Teresa-Collard-e-bio-Sept-2018.pdf,Teresa Collard,,,
20482,WMK/004,item,Avril Dankworth,"Biography of Avril Dankworth and her passion for music education, detailing her creation of the National Youth Music Camps, based at The Stables, Wavendon.",,1 PDF file,Margaret Gallagher,2017,,,Open,Milton Keynes Fawcett Society Group,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/10/WMK-004_Avril-Dankworth-e-bio-Sept-2018.pdf,Avril Dankworth,,,
20485,WMK/005,item,Margaret Durbridge,"Biography of Margaret Durbridge detailing her activities and achievements in helping to plan Milton Keynes new town. These include being the only woman on the Board of the Milton Keynes Development Corporation, also sitting on the Transport Group, chairing the Social Policy Committee and championing the redways cycle and pedestrian system. In the community, Durbridge was governor of a number of schools and was invited to become a member of the Open University Council. She was awarded an OBE in 1977.",,1 PDF file,Gill Kirkup,2017,,,Open,Milton Keynes Fawcett Society Group,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/10/WMK-005_Margaret-Durbridge-e-bio-Sept-2018.pdf,Margaret Durbridge,,,
20488,WMK/006,item,Jane Henshaw,"Biography of Jane Henshaw detailing her activities and achievements in relation to health, education and business development in Milton Keynes. These include serving on the Board of Trustees for the establishment of Willen Hospice, leading the project that established the MK Education Business Partnership with the Chamber of Commerce, developing the format adopted as information technology (IT) certification in schools and setting up LINKS magazine - the Education-Industry Liaison Committee Newsletter.",,1 PDF file,Gill Bryan,2017,,,Open,,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/10/WMK-006_Jane-Henshaw-e-bio-Sept-2018.pdf,Jane Henshaw,,,
20491,WMK/007,item,Matilda Kessler,"Biography of Matilda Kessler detailing her activities and achievements in the development of Milton Keynes. These include her appointment as a Magistrate to the Fenny Stratford Bench, establishing the first Citizens Advice Bureau in Bletchley, co-founding the Milton Keynes Mental Health Association, being a member of the Open University Council and writing the publication 'The Story of the Magistrates Courts in Milton Keynes'.",,1 PDF file,Gill Bryan,2017,Bletchley|Fenny Stratford,,Open,,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/10/WMK-007_Matilda-Kessler-e-bio-Sept-2018.pdf,Matilda Kessler,,,
20495,WMK/008,item,Liz Leyh,"Biography of Liz Leyh detailing her activities and achievements in relation to Milton Keynes. These activities include being the first artist in residence of a new town, engaging residents in community art and sculpture, and creating the concrete cows.",,1 PDF file,Gill Kirkup,2017,,,Open,,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/10/WMK-008_Liz-Leyh-e-bio-Sept-2018.pdf,Liz Leyh,,,
20501,WMK/009,item,Margaret Powell,"Biography of Margaret Powell outlining her contribution to Milton Keynes. Powell was a sheep farmer, and lived and worked at Tattenhoe Bare Farm. Upon her death, Powell left a two million pound legacy to be used for the enhancement of facilities and services for elderly and disabled people in the area, which was set up as The Margaret Powell Foundation. Milton Keynes Community Foundation look after the Margaret Powell Foundation Fund and, in recognition of her philanthropy, their building on Midsummer Boulevard has been renamed Margaret Powell House. The biography also goes into detail about the Electric Sheep sculpture at Milton Keynes Theatre.",,1 PDF file,Gill Bryan,2017,Central Milton Keynes|Kingsmead,,Open,Milton Keynes Fawcett Society Group,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/11/WMK-009_Margaret-Powell-e-bio-Sept-2018.pdf,,,,
20504,WMK/010,item,Marjorie Reid,"Biography of Dr. Marjorie Reid, detailing her involvement in the creation of Willen Hospice. Revolutionising the provision of palliative care and medicine for the new city, Dr. Reid went on to be the Hospice's first medical director.",,1 PDF file,Joan Swann,2017,Willen,,Open,,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/11/WMK-010_Dr-Marjorie-Reid-e-bio-Sept-2018.pdf,Marjorie Reid,,,
20508,WMK/011,item,Margaret Sale,"Biography of Margaret Sale, detailing her involvement in the creation of the Bletchley Park Trust and the fight to preserve the wartime history of the site. The biography also includes details of her husband Tony's project to re-build the Colossus computer, and their involvement in the establishment of The National Museum of Computing.",,1 PDF file,Liz Whitelegg,2017,Bletchley,,Open,,,GB 3420,Digital,,,,https://catalogue.mkcdc.org.uk/wp-content/uploads/2018/11/WMK-011_Margaret-Sale-e-bio-Sept-2018.pdf,Margaret Sale,,,
