pid,institution,status,summary,lkw,viewfrom,placenotes,date,datebeg,dateend,datenotes,inscriptions,skw,akw,okw,event,personalname,role,photographer,loanby,condnotes,webimg,copies,format,locconf,dateconf,previds,height,width,bwcol,cond,catalogby,catdate,batch,cd,usedimg,scanres,bitdepth,pixelwid,pixelht,scandate,moddate,scannedby,scannedon,scansoft,chksum,recorder,comments,lastedit,filter,s_summary,s_viewfrom,s_placenotes,s_datenotes,s_personalname,s_inscriptions
1001,RHW,publish,"New Police Station in Queen Victoria Road, High Wycombe in 1937",|Queen Victoria Road;;High Wycombe (central);Bucks;UK|,Council Offices on East side of Queen Victoria Road,New Police Station High Wycombe,3.9.1937,19370903,19370903,Photographer's stamp,"Rubber Stamp of Edward Sweetland (2), [a][b][c][d] |s2.JPG|Rubber Stamp of County Library Sweetland Collection, [a][b] |s11.JPG|Rubber Stamp of High Wycombe Library (roundel), [c418a|s10.JPG|Rubber Stamp of High Wycombe Library (roundel), [d] 418b|[a][b] New Police Station on Queen Victoria Road|[c][d]  Police Station|[e] Council Offices (deleted)|Queen Victoria Road Police Station",|Civic building|Streetscape|,,,,,,"Sweetland, Edward",,,RHW01001.jpg,5,Photo Print,Certain,Certain,QUEV28a | 563A | 3B | A | 0.10218,152,212,Monochrome,Good,MEW,31.1.2005,BAT_001,LIB_001,RHW01001a,600 x 600,8,4913,3714,23.5.2005 18:07:47,23.5.2005 18:07:47,JLC,Epson Perfection4870,SilverFast 6.4.1r8c,a97479de68b1862ad225418bb28deee3,HDC:20060302,NULL,0000-00-00 00:00:00,P,newpolicestationinqueenvictoriaroadhighwycombein1937,councilofficesoneastsideofqueenvictoriaroad,newpolicestationhighwycombe,photographersstamp,,rubberstampofedwardsweetland2abcd|s2jpg|rubberstampofcountylibrarysweetlandcollectionab|s11jpg|rubberstampofhighwycombelibraryroundelc418a|s10jpg|rubberstampofhighwycombelibraryroundeld418b|abnewpolicestationonqueenvictoriaroad|cdpolicestation|ecouncilofficesdeleted|queenvictoriaroadpolicestation
1002,RHW,publish,"High Wycombe Police Station, Queen Victoria Road, High Wycombe about 1935",|Queen Victoria Road;;High Wycombe (central);Bucks;UK|,From Council Offices on east side of Queen Victoria Road,New Police Station High Wycombe,1935,19350000,19351231,Handwritten date,Queen Victoria Road|Police Station|Edward Sweetland High Wycombe (front),|Civic building|Streetscape|,,,,,,"Sweetland, Edward",,,RHW01002.jpg,1,Photo Print,Certain,Fairly Sure,QUEV28 | W.Q.VIC (1) | P865 | S 10008,121,211,Monochrome,Good,MEW,31.1.2005,BAT_001,LIB_001,RHW01002,600 x 600,8,4848,3099,30.5.2005 12:32:25,30.5.2005 12:35:17,JLC,Mustek ScanExpress A3 USB,Adobe Photoshop CS Windows,6f98cb64f073802456a0586687b9a983,HDC:20060302,NULL,0000-00-00 00:00:00,P,highwycombepolicestationqueenvictoriaroadhighwycombeabout1935,fromcouncilofficesoneastsideofqueenvictoriaroad,newpolicestationhighwycombe,handwrittendate,,queenvictoriaroad|policestation|edwardsweetlandhighwycombefront
1003,RHW,publish,"High Wycombe Police Station and Town Hall Queen Victoria Road, High Wycombe. late 1935",|Queen Victoria Road;;High Wycombe (central);Bucks;UK|,South looking up Queen Victoria Rd towards High St,Police Station and Town Hall viewed side on and commemorative bridge over River Wye on western side,1935 (late),19350000,19351231,End 1935 beginning 1936 photographers stamp,"Rubber Stamp of Edward Sweetland (2)|s2.JPG|Police Station and buildings erected in Queen Victoria Road, opened by the Mayor George H. Brocklehurst Eng",|Civic building|Streetscape|,,|Bridge|,,,,"Sweetland, Edward",,,RHW01003.jpg,1,Photo Print,Certain,Certain,QUEV26 | 0.10038 | W Q VIC (1) | P864,136,205,Monochrome,Good,MEW,31.1.2005,BAT_001,LIB_001,RHW01003,600 x 600,8,4856,3236,23.5.2005 18:09:27,23.5.2005 18:09:27,JLC,Epson Perfection4870,SilverFast 6.4.1r8c,90d500a83e3c872468bdf7e0d4b3611e,HDC:20060302,NULL,0000-00-00 00:00:00,P,highwycombepolicestationandtownhallqueenvictoriaroadhighwycombelate1935,southlookingupqueenvictoriardtowardshighst,policestationandtownhallviewedsideonandcommemorativebridgeoverriverwyeonwesternside,end1935beginning1936photographersstamp,,rubberstampofedwardsweetland2|s2jpg|policestationandbuildingserectedinqueenvictoriaroadopenedbythemayorgeorgehbrocklehursteng
1004,RHW,publish,"High Wycombe Police Station viewed from Council Offices in Queen Victoria Road, High Wycombe October 1935",|Queen Victoria Road;;High Wycombe (central);Bucks;UK|,Council Offices on East side of Queen Victoria Road High Wycombe,Police Station viewed from opposite side of the road,30.10.1935,19351030,19351030,Photographer's stamp,Rubber Stamp of Edward Sweetland (2)|s2.JPG|Police Station opened 1935,|Civic building|Streetscape|,,,,,,"Sweetland, Edward",,,RHW01004.jpg,1,Photo Print,Certain,Certain,QUEV28 | P865 | 0.10008 | W Q VIC (1),125,194,Monochrome,Good,MEW,31.1.2005,BAT_001,LIB_001,RHW01004,600 x 600,8,4718,3096,23.5.2005 18:10:43,23.5.2005 18:10:43,JLC,Epson Perfection4870,SilverFast 6.4.1r8c,4f692be8daa8a906da893945affb5f24,HDC:20060302,NULL,0000-00-00 00:00:00,P,highwycombepolicestationviewedfromcouncilofficesinqueenvictoriaroadhighwycombeoctober1935,councilofficesoneastsideofqueenvictoriaroadhighwycombe,policestationviewedfromoppositesideoftheroad,photographersstamp,,rubberstampofedwardsweetland2|s2jpg|policestationopened1935
1005,RHW,publish,"High Wycombe Police Station, in Queen Victoria Road, High Wycombe. Oct 1935",|Queen Victoria Road;;High Wycombe (central);Bucks;UK|,Council Offices on East side of Queen Victoria Rd High Wycombe,New Police Station High Wycombe viewed from opposite side of the road,30.10.1935,19351030,19351030,Handwritten date Number suggests Sweetland,HIGH WYCOMBE|Council Offices (deleted)|Queen Victoria Road c1936|Police Station,|Civic building|Streetscape|,,,,,,"Sweetland, Clarence Edward",,Copy taken from RHW01004 showing larger area,RHW01005.jpg,1,Photo Print,Certain,Fairly Sure,QUEV28(a) | 10008A | A,155,225,Monochrome,Good,MEW,31.1.2005,BAT_001,LIB_001,RHW01005,600 x 600,8,4879,3678,23.5.2005 18:14:41,23.5.2005 18:14:41,JLC,Epson Perfection4870,SilverFast 6.4.1r8c,e6f9a333cc074afe904999c3f0debcec,HDC:20060302,NULL,0000-00-00 00:00:00,P,highwycombepolicestationinqueenvictoriaroadhighwycombeoct1935,councilofficesoneastsideofqueenvictoriardhighwycombe,newpolicestationhighwycombeviewedfromoppositesideoftheroad,handwrittendatenumbersuggestssweetland,,highwycombe|councilofficesdeleted|queenvictoriaroadc1936|policestation
1006,RHW,publish,"View towards SE of junction of Queen Victoria Road with High St and Easton St, High Wycombe, October 1936",|Queen Victoria Road;;High Wycombe (central);Bucks;UK|,Queen Victoria at junction with High St and Easton St,"E corner of Queen Victoria Rd at junction with Easton St and High St, High Wycombe",16.10.1936,19361016,19361016,Photographer's stamp,"Rubber Stamp of Edward Sweetland (2), [a][b] |s2.JPG|Rubber Stamp of Clarence Sweetland (4), [c] |s4.JPG|Rubber Stamp of High Wycombe Library (roundel), [a][b] |s10.JPG|Rubber Stamp of County Library Sweetland Collection, [c] |s11.JPG|W Queen Vic. Road|[a]  Corner of Queen Victoria Road and High Street|[b][c]  Corner of Queen Victoria Road and Easton Street",|Civic building|Commercial building|Streetscape|,|Shopping|,|Motor vehicle|Post office|Shop|Sign|,,"Davy, J.S.,|Smithers, A.,|Giles, I.R.,",Stationer||Hairdresser,"Sweetland, Edward",,,RHW01006.jpg,3,Photo Print,Certain,Certain,QUEV27 | 374(a) | 374(b) | 0.10102 | P799(1),148,200,Monochrome,Good,MEW,3.2.2005,BAT_001,LIB_001,RHW01006b,600 x 600,8,4772,3588,23.5.2005 18:16:36,23.5.2005 18:16:36,JLC,Epson Perfection4870,SilverFast 6.4.1r8c,4104e14171bca96c6518eb5c523f374c,HDC:20060302,NULL,0000-00-00 00:00:00,P,viewtowardsseofjunctionofqueenvictoriaroadwithhighstandeastonsthighwycombeoctober1936,queenvictoriaatjunctionwithhighstandeastonst,ecornerofqueenvictoriardatjunctionwitheastonstandhighsthighwycombe,photographersstamp,davyjs|smithersa|gilesir,rubberstampofedwardsweetland2ab|s2jpg|rubberstampofclarencesweetland4c|s4jpg|rubberstampofhighwycombelibraryroundelab|s10jpg|rubberstampofcountylibrarysweetlandcollectionc|s11jpg|wqueenvicroad|acornerofqueenvictoriaroadandhighstreet|bccornerofqueenvictoriaroadandeastonstreet
1007,RHW,publish,"View towards NE of crossroads at junction of Queen Victoria Rd, High St, Easton St and Crendon St, High Wycombe, Sept.1934",|Queen Victoria Road;;High Wycombe (central);Bucks;UK|,"S towards crossroads with High St, Easton St and Crendon St","Post Office under construction, Dial House, Christchurch(Crendon St), Library Gardens",9.1934,19340900,19340931,Photographer's stamp,"Rubber Stamp of Edward Sweetland (2), [b][c] |s2.JPG|Rubber Stamp of High Wycombe Library (roundel), [b][c] |s10.JPG|Rubber Stamp of Clarence Sweetland (4), [a] |s4.JPG|Rubber Stamp of County Library Sweetland Collection, [a] |s11.JPG|W Queen Victoria Road|[b][c] Corner of Queen Victoria Road",|Commercial building|Streetscape|,|Construction|Shopping|,|Church/chapel|Cycle|Motor vehicle|Shop|Sign|,,,,"Sweetland, Clarence Edward",,[a]smaller image but slightly more detailed,RHW01007.jpg,3,Photo Print,Certain,Certain,QUEV29 | P795 | 360(a) | 360(b) | 0.9849,95,153,Monochrome,Good,MEW,3.2.2005,BAT_001,LIB_001,RHW01007a,600 x 600,8,3668,2326,23.5.2005 18:18:42,23.5.2005 18:18:42,JLC,Epson Perfection4870,SilverFast 6.4.1r8c,c2d315f0db894e85f0c6745e7811b3f1,HDC:20060302,NULL,0000-00-00 00:00:00,P,viewtowardsneofcrossroadsatjunctionofqueenvictoriardhighsteastonstandcrendonsthighwycombesept1934,stowardscrossroadswithhighsteastonstandcrendonst,postofficeunderconstructiondialhousechristchurchcrendonstlibrarygardens,photographersstamp,,rubberstampofedwardsweetland2bc|s2jpg|rubberstampofhighwycombelibraryroundelbc|s10jpg|rubberstampofclarencesweetland4a|s4jpg|rubberstampofcountylibrarysweetlandcollectiona|s11jpg|wqueenvictoriaroad|bccornerofqueenvictoriaroad
1008,RHW,publish,"Site of former Dial House, demolition at corner of Easton St and Crendon St, High Wycombe. Jan.1937",|Queen Victoria Road;;High Wycombe (central);Bucks;UK|,"S towards crossroad with High St, Easton St and Crendon St","Site of Dial House and adjacent shop after demolition, Easton St, High Wycombe",1.1937,19370100,19370131,Photographer's stamp,Rubber Stamp of Edward Sweetland (2)|s2.JPG|Rubber Stamp of High Wycombe Library (roundel)|s10.JPG|Queen Victoria Road,|Civic building|Commercial building|Streetscape|,|Shopping|,|Bus|Church/chapel|Hoarding|Motor vehicle|Post office|Sign|Traffic control|,,"Falloon, Gladys,|Giles, I.R.,|Davy, J.S.,|Freer,|Raffety,",Ladies Clothing|Hairdresser||Printer|,"Sweetland, Edward",,Slight shadow on top corners,RHW01008.jpg,1,Photo Print,Certain,Certain,QUEV110 | 10B(deleted) | 0.10157 | 375(b) | P801(1),148,200,Monochrome,Good,MEW,3.2.2005,BAT_001,LIB_001,RHW01008,600 x 600,8,4833,3586,23.5.2005 18:20:25,23.5.2005 18:20:25,JLC,Epson Perfection4870,SilverFast 6.4.1r8c,2b620a1638fae9fcdad77d86fdafd3af,HDC:20060302,NULL,0000-00-00 00:00:00,P,siteofformerdialhousedemolitionatcornerofeastonstandcrendonsthighwycombejan1937,stowardscrossroadwithhighsteastonstandcrendonst,siteofdialhouseandadjacentshopafterdemolitioneastonsthighwycombe,photographersstamp,falloongladys|gilesir|davyjs|freer|raffety,rubberstampofedwardsweetland2|s2jpg|rubberstampofhighwycombelibraryroundel|s10jpg|queenvictoriaroad
1009,RHW,publish,"Flags and banners and a crowd lining the E end of the street for George V Coronation. High Street, High Wycombe. June 1911",|High Street area;;High Wycombe (central);Bucks;UK|,N side at E. end,Crowds lining the street. Flags and banners decorating buildings.,about 6.1911 ,19110500,19110700,Clothes suggest late Victorian/ Edwardian,HIGH WYCOMBE,|Commercial building|Streetscape|,|Procession|,|Crowd|,Coronation of George V,"Bliss, J.,|Toplis, Charles,",Solicitor|General Stores,,,,RHW01009.jpg,1,Photo Print,Certain,Fairly Sure,HIG108 | 8 | 6842 | 3/29,106,159,Monochrome,OK,MEW,7.2.2005,BAT_001,LIB_001,RHW01009,600 x 600,8,3751,2514,25.5.2005 11:45:14,25.5.2005 11:45:14,JLC,Epson Perfection4870,Adobe Photoshop CS Windows,68ca7747c386f0e90b6d8524bdf092eb,HDC:20060302,NULL,0000-00-00 00:00:00,P,flagsandbannersandacrowdliningtheeendofthestreetforgeorgevcoronationhighstreethighwycombejune1911,nsideateend,crowdsliningthestreetflagsandbannersdecoratingbuildings,clothessuggestlatevictorianedwardian,blissj|toplischarles,highwycombe
1010,RHW,publish,"The Rupert Gates visible in a view from East along the High St, High Wycombe. before 1902",|High Street area;;High Wycombe (central);Bucks;UK|,Easton St. W towards Guildhall,Before removal of Rupert Gates,before 1902 ,18990000,19020000,Victorian era before 1901,HIGH WYCOMBE,|Civic building|Commercial building|Domestic building|Streetscape|,,|Architectural feature|,,,,,,,RHW01010.jpg,1,Photo Print,Certain,Unsure,HIG109 | HW4110,106,162,Monochrome,Good,MEW,7.2.2005,BAT_001,LIB_001,RHW01010,600 x 600,8,3832,2502,25.5.2005 11:45:02,25.5.2005 11:45:02,JLC,Epson Perfection4870,Adobe Photoshop CS Windows,94a47a276280dfcf2bbd03ed5ce06854,HDC:20060302,NULL,0000-00-00 00:00:00,P,therupertgatesvisibleinaviewfromeastalongthehighsthighwycombebefore1902,eastonstwtowardsguildhall,beforeremovalofrupertgates,victorianerabefore1901,,highwycombe
